binary,dataset,threads,run,time_ms,ok
spmv_not_csr,test_small_uniform_50,1,1,0.069,True
spmv_not_csr,test_small_uniform_50,1,2,0.069,True
spmv_not_csr,test_small_uniform_50,1,3,0.075,True
spmv_serial,test_small_uniform_50,1,1,0.002,True
spmv_serial,test_small_uniform_50,1,2,0.002,True
spmv_serial,test_small_uniform_50,1,3,0.002,True
spmv_openmp,test_small_uniform_50,16,1,0.009,True
spmv_openmp,test_small_uniform_50,16,2,0.01,True
spmv_openmp,test_small_uniform_50,16,3,0.009,True
spmv_not_csr,test_med_skew_500,1,1,4.525,True
spmv_not_csr,test_med_skew_500,1,2,4.504,True
spmv_not_csr,test_med_skew_500,1,3,4.505,True
spmv_serial,test_med_skew_500,1,1,0.016,True
spmv_serial,test_med_skew_500,1,2,0.017,True
spmv_serial,test_med_skew_500,1,3,0.016,True
spmv_openmp,test_med_skew_500,16,1,0.014,True
spmv_openmp,test_med_skew_500,16,2,0.013,True
spmv_openmp,test_med_skew_500,16,3,0.014,True
spmv_not_csr,test_med_uniform_500,1,1,5.762,True
spmv_not_csr,test_med_uniform_500,1,2,6.352,True
spmv_not_csr,test_med_uniform_500,1,3,6.227,True
spmv_serial,test_med_uniform_500,1,1,0.013,True
spmv_serial,test_med_uniform_500,1,2,0.013,True
spmv_serial,test_med_uniform_500,1,3,0.013,True
spmv_openmp,test_med_uniform_500,16,1,0.015,True
spmv_openmp,test_med_uniform_500,16,2,0.018,True
spmv_openmp,test_med_uniform_500,16,3,0.015,True
spmv_not_csr,test_sparse_1000,1,1,11.532,True
spmv_not_csr,test_sparse_1000,1,2,11.651,True
spmv_not_csr,test_sparse_1000,1,3,11.062,True
spmv_serial,test_sparse_1000,1,1,0.008,True
spmv_serial,test_sparse_1000,1,2,0.008,True
spmv_serial,test_sparse_1000,1,3,0.006,True
spmv_openmp,test_sparse_1000,16,1,0.01,True
spmv_openmp,test_sparse_1000,16,2,0.016,True
spmv_openmp,test_sparse_1000,16,3,0.011,True
spmv_not_csr,large_sparse_2000,1,1,39.014,True
spmv_not_csr,large_sparse_2000,1,2,43.545,True
spmv_not_csr,large_sparse_2000,1,3,43.308,True
spmv_serial,large_sparse_2000,1,1,0.022,True
spmv_serial,large_sparse_2000,1,2,0.021,True
spmv_serial,large_sparse_2000,1,3,0.041,True
spmv_openmp,large_sparse_2000,16,1,0.019,True
spmv_openmp,large_sparse_2000,16,2,0.026,True
spmv_openmp,large_sparse_2000,16,3,0.019,True
spmv_not_csr,large_denserows_2000,1,1,383.941,True
spmv_not_csr,large_denserows_2000,1,2,383.859,True
spmv_not_csr,large_denserows_2000,1,3,383.998,True
spmv_serial,large_denserows_2000,1,1,0.264,True
spmv_serial,large_denserows_2000,1,2,0.272,True
spmv_serial,large_denserows_2000,1,3,0.268,True
spmv_openmp,large_denserows_2000,16,1,0.036,True
spmv_openmp,large_denserows_2000,16,2,0.032,True
spmv_openmp,large_denserows_2000,16,3,0.033,True
spmv_not_csr,large_sparse_5000,1,1,119.879,True
spmv_not_csr,large_sparse_5000,1,2,123.036,True
spmv_not_csr,large_sparse_5000,1,3,122.768,True
spmv_serial,large_sparse_5000,1,1,0.033,True
spmv_serial,large_sparse_5000,1,2,0.032,True
spmv_serial,large_sparse_5000,1,3,0.032,True
spmv_openmp,large_sparse_5000,16,1,0.028,True
spmv_openmp,large_sparse_5000,16,2,0.039,True
spmv_openmp,large_sparse_5000,16,3,0.036,True
spmv_serial,huge_200k_100,1,1,38.414,True
spmv_serial,huge_200k_100,1,2,38.323,True
spmv_serial,huge_200k_100,1,3,38.722,True
spmv_openmp,huge_200k_100,16,1,5.864,True
spmv_openmp,huge_200k_100,16,2,5.864,True
spmv_openmp,huge_200k_100,16,3,5.84,True
spmv_serial,huge_denserows_5000,1,1,1.077,True
spmv_serial,huge_denserows_5000,1,2,1.143,True
spmv_serial,huge_denserows_5000,1,3,1.099,True
spmv_openmp,huge_denserows_5000,16,1,0.14,True
spmv_openmp,huge_denserows_5000,16,2,0.143,True
spmv_openmp,huge_denserows_5000,16,3,0.148,True
spmv_serial,large_10000_sparse_100,1,1,1.037,True
spmv_serial,large_10000_sparse_100,1,2,1.661,True
spmv_serial,large_10000_sparse_100,1,3,1.604,True
spmv_openmp,large_10000_sparse_100,16,1,0.432,True
spmv_openmp,large_10000_sparse_100,16,2,0.172,True
spmv_openmp,large_10000_sparse_100,16,3,0.185,True
spmv_openmp,large_sparse_5000,1,1,0.042,True
spmv_openmp,large_sparse_5000,1,2,0.073,True
spmv_openmp,large_sparse_5000,1,3,0.055,True
spmv_openmp,large_sparse_5000,2,1,0.066,True
spmv_openmp,large_sparse_5000,2,2,0.067,True
spmv_openmp,large_sparse_5000,2,3,0.06,True
spmv_openmp,large_sparse_5000,4,1,0.035,True
spmv_openmp,large_sparse_5000,4,2,0.035,True
spmv_openmp,large_sparse_5000,4,3,0.035,True
spmv_openmp,large_sparse_5000,8,1,0.025,True
spmv_openmp,large_sparse_5000,8,2,0.025,True
spmv_openmp,large_sparse_5000,8,3,0.027,True
spmv_openmp,large_10000_sparse_100,1,1,1.105,True
spmv_openmp,large_10000_sparse_100,1,2,1.135,True
spmv_openmp,large_10000_sparse_100,1,3,1.12,True
spmv_openmp,large_10000_sparse_100,2,1,0.916,True
spmv_openmp,large_10000_sparse_100,2,2,0.915,True
spmv_openmp,large_10000_sparse_100,2,3,1.213,True
spmv_openmp,large_10000_sparse_100,4,1,0.613,True
spmv_openmp,large_10000_sparse_100,4,2,0.611,True
spmv_openmp,large_10000_sparse_100,4,3,0.619,True
spmv_openmp,large_10000_sparse_100,8,1,0.302,True
spmv_openmp,large_10000_sparse_100,8,2,0.318,True
spmv_openmp,large_10000_sparse_100,8,3,0.306,True
spmv_openmp,huge_denserows_5000,1,1,0.506,True
spmv_openmp,huge_denserows_5000,1,2,0.508,True
spmv_openmp,huge_denserows_5000,1,3,0.978,True
spmv_openmp,huge_denserows_5000,2,1,0.914,True
spmv_openmp,huge_denserows_5000,2,2,1.017,True
spmv_openmp,huge_denserows_5000,2,3,0.944,True
spmv_openmp,huge_denserows_5000,4,1,0.52,True
spmv_openmp,huge_denserows_5000,4,2,0.516,True
spmv_openmp,huge_denserows_5000,4,3,0.509,True
spmv_openmp,huge_denserows_5000,8,1,0.259,True
spmv_openmp,huge_denserows_5000,8,2,0.269,True
spmv_openmp,huge_denserows_5000,8,3,0.254,True
spmv_openmp,huge_200k_100,1,1,36.763,True
spmv_openmp,huge_200k_100,1,2,36.833,True
spmv_openmp,huge_200k_100,1,3,36.148,True
spmv_openmp,huge_200k_100,2,1,33.348,True
spmv_openmp,huge_200k_100,2,2,33.663,True
spmv_openmp,huge_200k_100,2,3,33.108,True
spmv_openmp,huge_200k_100,4,1,19.87,True
spmv_openmp,huge_200k_100,4,2,21.19,True
spmv_openmp,huge_200k_100,4,3,21.076,True
spmv_openmp,huge_200k_100,8,1,11.403,True
spmv_openmp,huge_200k_100,8,2,11.479,True
spmv_openmp,huge_200k_100,8,3,11.229,True
